8181 26518
6022 2794 -287
3745 4435 -949
212 2981 769
5535 5033 -378
7957 643 -489
6269 5531 -733
7236 6371 65
6194 3672 -816
1796 5479 638
733 4076 -593
18 7978 -269
2477 655 -72
430 2575 -464
2278 1287 896
1928 7301 -738
134 7132 -854
1978 4763 314
4927 7767 60
6717 7724 672
2676 2167 -841
3388 4483 233
8011 1472 866
4548 2051 -377
4126 790 702
4516 809 -140
5000 159 -292
8067 3273 519
1698 3594 951
4050 2725 88
3052 2073 989
865 1356 -429
4307 3792 924
5806 3342 977
4055 3983 -240
6211 783 -395
1765 3452 -815
3487 7898 -562
1266 1349 77
4033 6931 152
6932 485 -272
1639 1096 -150
7302 6863 -638
2002 5218 31
7202 4099 926
3108 3725 -175
7168 4743 381
6210 6576 188
2855 6774 -302
5277 244 519
1864 72 693
7634 3303 -172
1157 3431 880
3199 473 345
2286 3866 478
5633 3887 940
5148 2543 -4
1980 6152 -541
8018 6713 433
4997 4221 -523
1195 5784 179
466 2367 -566
132 286 31
6821 6165 -749
66 2459 -35
4936 4304 -449
7102 2615 737
349 1173 734
949 7666 -863
7401 6888 830
4157 381 -386
4323 3742 -237
1057 4776 -836
2384 7562 526
2690 5112 732
7117 4552 -522
6208 441 661
5812 7081 -208
1028 3904 203
4266 1136 806
5909 5614 -210
6270 1702 -466
1971 5233 680
604 282 953
4476 5838 727
6469 1603 -265
6717 3439 -358
3453 6176 -539
3470 7190 -967
8153 5537 192
7003 4159 698
7526 295 -127
561 4078 548
86 5759 -146
4653 1878 313
1135 6727 644
8036 7832 -287
6778 669 -677
3244 3744 264
2796 4148 512
4561 3010 -666
3244 417 784
3334 1084 287
1031 671 150
4927 1572 630
6128 8057 861
6265 3250 -690
1922 6380 41
561 2283 93
4339 2656 -191
6654 5302 -411
7801 2740 -950
3088 7587 -156
1014 289 -546
7752 1297 -340
7438 707 973
3377 1124 -230
2114 6555 815
4351 2763 330
7520 7279 648
6855 8076 -147
7034 2419 -513
2396 4211 -988
6712 2419 -550
5702 1525 650
2012 1119 -640
425 3632 -549
3414 2487 89
3360 311 -350
6296 4389 -425
2962 7181 -322
3381 3478 74
2281 5364 -658
7599 7619 325
3190 5172 -895
7562 5615 -757
2683 3832 273
7174 1197 -306
6748 5719 -367
5423 4790 853
860 443 -523
178 7800 991
3938 5736 -728
7754 439 425
91 1131 609
691 3546 -23
6067 7434 82
3271 1503 479
5327 842 -467
2654 4499 72
7730 2922 837
2291 3443 484
4357 9 -579
343 2556 -139
1238 2123 232
6163 1387 64
5938 1760 115
612 7795 172
4866 6233 754
1776 3475 -972
2931 621 -487
5480 2789 259
6666 530 -48
6107 2335 -780
6518 8106 -3
3556 6234 -936
5953 2020 646
5720 5613 -408
440 7830 944
6632 810 -796
7062 2498 522
2061 7219 201
3847 5835 -629
2706 3047 788
6886 4744 -465
5491 8006 646
4189 1981 -382
1066 5772 179
3094 6113 -959
6968 4926 -661
3624 2769 -773
5286 7705 -56
7187 5209 -522
4307 1540 -670
6306 469 647
7716 6633 27
2842 6036 -370
5276 2832 41
2044 3560 42
826 3983 306
6975 1991 -947
688 1656 -473
3736 589 657
7889 710 279
6281 7767 413
7963 672 -890
7806 931 -49
591 6962 772
6620 426 556
91 7728 -586
3204 1670 -329
6732 7558 -467
5791 1797 -572
7250 3888 -236
1134 1934 168
3090 2665 640
4179 6723 -604
8106 756 -693
1036 5269 -304
6304 6008 -412
6704 7524 376
3189 2878 -190
6187 5169 -970
6204 881 -893
5130 7432 89
5131 4742 -169
1466 3759 653
1732 1104 -453
5146 1271 -622
5686 6001 -854
1581 2540 158
1761 288 508
8058 1149 572
5306 2392 73
6913 163 -198
7849 5411 822
5819 1890 762
7128 3694 956
6848 3982 350
6299 2338 111
3014 7147 -614
7549 3861 86
4451 4621 -511
1199 3136 201
4734 1205 975
6769 2363 296
1742 4525 470
3591 2945 -748
7625 590 503
6680 7286 599
2393 2539 431
6438 1441 158
7074 1217 -202
4493 1722 -657
7233 2885 765
7474 3640 -409
465 1034 -935
2388 7564 -279
4305 5044 648
1632 15 612
5736 5608 551
6984 3794 422
7538 7751 -325
3552 1164 -149
2806 6281 -471
3962 5058 71
8051 4179 984
3708 6306 977
8017 6366 916
5402 5643 -647
2891 5598 -153
4007 5303 -901
629 1193 -862
3580 8065 102
1096 6998 -925
5170 7537 -443
704 5218 -181
5526 4175 -207
4661 7329 -237
4830 123 -65
6566 765 127
2099 7671 -763
7728 983 489
2035 2293 -976
7533 5067 -123
5169 2852 -79
2343 6703 663
7169 7455 935
1257 6547 -237
1134 6396 -898
2047 5578 -799
1411 1752 -798
5973 4404 906
3490 4371 136
8135 6 541
7679 4287 476
3662 2222 -886
6461 2289 -857
5099 5674 -362
7353 5960 625
2207 385 33
4998 5308 197
7997 7135 -470
995 5232 -383
2674 6551 426
4792 1574 240
1473 1843 91
932 2184 936
2531 6874 -128
4681 1178 -555
4402 5927 52
1033 954 -87
6671 4725 -121
3019 1608 -625
663 5812 -338
4909 5799 928
6854 6640 -486
7794 1594 1000
1870 4542 581
6580 2103 -921
4870 7919 312
1535 4618 -828
452 3638 495
1798 3658 -839
5895 7738 802
2467 2004 974
7610 1315 678
2650 4003 573
4919 2900 -632
4046 5471 482
7842 7941 991
414 5450 788
4330 2711 -742
734 2040 408
325 8167 761
7224 3728 299
4800 7343 622
6002 3763 507
3306 5700 983
7914 4407 976
5833 7526 961
4016 772 599
1869 6827 -776
3048 541 602
4586 356 668
6400 7879 -501
1958 7916 -745
930 7041 -55
2999 964 840
4911 7490 3
5567 2543 -923
2259 1763 -196
5943 7190 78
918 1570 -448
312 7858 -743
3158 3698 570
2599 137 -664
920 6531 816
2296 7954 -696
2014 3912 -232
65 3601 -321
1529 745 -62
758 6336 843
3623 3409 402
2601 1662 -469
1712 4112 -647
5485 5961 295
7769 2153 -640
8145 3836 678
460 5386 290
6707 7225 315
3656 6330 -838
5623 3619 494
1792 5322 81
7577 180 -605
5337 4859 -851
4410 7963 -150
6030 3178 -61
7141 6890 210
6393 2543 -41
6439 3663 -781
6382 5459 553
2900 197 135
